product_id,product_name,category
1,iPhone 15,Smartphones
2,iPhone 15 Pro,Smartphones
3,Samsung Galaxy S24,Smartphones
4,Samsung Galaxy S24 Ultra,Smartphones
5,Samsung Galaxy A35,Smartphones
6,OnePlus 12,Smartphones
7,OnePlus Nord 4,Smartphones
8,Xiaomi 14,Smartphones
9,Redmi Note 13 Pro,Smartphones
10,Redmi 13C,Smartphones
11,Realme 12 Pro+,Smartphones
12,Vivo V30,Smartphones
13,Oppo Reno 12,Smartphones
14,Oppo A79,Smartphones
15,MacBook Air M3,Laptops
16,MacBook Pro 14 M3,Laptops
17,Dell Inspiron 15,Laptops
18,Dell Inspiron 14 2-in-1,Laptops
19,Dell XPS 13,Laptops
20,HP Pavilion 15,Laptops
21,HP Victus 16,Laptops
22,Lenovo ThinkPad E14,Laptops
23,Lenovo IdeaPad Slim 5,Laptops
24,Asus Vivobook 15,Laptops
25,Asus ROG Zephyrus G14,Laptops
26,Acer Aspire 5,Laptops
27,Acer Nitro 5,Laptops
28,iPad 10th Gen,Tablets
29,iPad Air M2,Tablets
30,Samsung Galaxy Tab S9,Tablets
31,Samsung Galaxy Tab A9+,Tablets
32,Lenovo Tab M10 Plus,Tablets
33,Realme Pad 2,Tablets
34,Xiaomi Pad 6,Tablets
35,OnePlus Pad Go,Tablets
36,Boat Rockerz 450,Audio
37,Boat Airdopes 141,Audio
38,Sony WH-CH720N,Audio
39,Sony WF-C500,Audio
40,JBL Tune 760NC,Audio
41,JBL Live Pro 2,Audio
42,JBL Go 3,Audio
43,Apple AirPods Pro 2,Audio
44,Apple AirPods 3,Audio
45,Samsung Galaxy Buds2 Pro,Audio
46,OnePlus Buds 3,Audio
47,Logitech M221 Silent Mouse,Accessories
48,Logitech K380 Multi-Device Keyboard,Accessories
49,Samsung 25W Super Fast Charger,Accessories
50,Apple USB-C to Lightning Cable,Accessories
51,OnePlus Warp Charge 65W Adapter,Accessories
52,Logitech C270 HD Webcam,Accessories
53,Samsung Wireless Charger Pad,Accessories
54,Apple MagSafe Charger,Accessories
55,Logitech H111 Stereo Headset,Accessories
56,Xiaomi 20000mAh Power Bank,Accessories
57,Realme 33W Dart Charger,Accessories
58,Boat Type-C A750 Cable,Accessories
59,Apple Watch Series 9,Smartwatches
60,Samsung Galaxy Watch 6,Smartwatches
61,Boat Wave Call 2,Smartwatches
62,Boat Ultima Voyager,Smartwatches
63,OnePlus Watch 2,Smartwatches
64,Xiaomi Watch 2,Smartwatches
65,Realme Watch 3 Pro,Smartwatches
66,Vivo Watch 2,Smartwatches
67,TP-Link Archer AX23 Router,Networking
68,TP-Link RE605X Range Extender,Networking
69,TP-Link Deco M4 Mesh WiFi,Networking
70,TP-Link Archer C6 Router,Networking
71,TP-Link USB WiFi Adapter,Networking
72,TP-Link 8-Port Gigabit Switch,Networking
73,TP-Link Tapo C200 Security Camera,Networking
74,SanDisk Ultra 128GB USB Drive,Storage
75,SanDisk Extreme 1TB Portable SSD,Storage
76,SanDisk 256GB microSD Card,Storage
77,WD My Passport 1TB HDD,Storage
78,WD Elements 2TB Portable HDD,Storage
79,WD Black SN770 1TB NVMe SSD,Storage
80,WD My Cloud Home 4TB NAS,Storage
